No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:30:52;8535464;2026-08-23   08:15:40.234;;;100;Su;08:15:40.234;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:30:52;1000696;2026-08-23   09:20:52.945;;;100;Su;09:20:52.945;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:30:52;8537180;2026-08-23   10:05:05.250;;;100;Su;10:05:05.250;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:30:52;2164586;2026-08-23   10:48:45.906;;;100;Su;10:48:45.906;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:30:52;2212921;2026-08-23   10:50:56.714;;;100;Su;10:50:56.714;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:30:52;7472012;2026-08-23   10:55:24.625;;;100;Su;10:55:24.625;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:30:52;2771569;2026-08-23   11:01:23.046;;;100;Su;11:01:23.046;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:30:52;1880412;2026-08-23   11:01:26.851;;;100;Su;11:01:26.851;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:30:52;2060841;2026-08-23   11:02:38.644;;;100;Su;11:02:38.644;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:30:52;231138;2026-08-23   11:02:44.253;;;100;Su;11:02:44.253;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:30:52;1060617;2026-08-23   11:02:45.570;;;100;Su;11:02:45.570;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:30:52;2159837;2026-08-23   11:04:07.609;;;100;Su;11:04:07.609;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:30:52;2163463;2026-08-23   11:05:22.128;;;100;Su;11:05:22.128;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:30:52;2219908;2026-08-23   11:06:06.949;;;100;Su;11:06:06.949;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:30:52;2213297;2026-08-23   11:06:10.160;;;100;Su;11:06:10.160;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:30:52;1186790;2026-08-23   11:07:57.144;;;100;Su;11:07:57.144;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:30:53;445265;2026-08-23   11:09:21.535;;;100;Su;11:09:21.535;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:30:53;2164599;2026-08-23   11:09:23.410;;;100;Su;11:09:23.410;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:30:53;1507797;2026-08-23   11:09:24.472;;;100;Su;11:09:24.472;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:30:53;1555055;2026-08-23   11:10:49.457;;;100;Su;11:10:49.457;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
21;2026-09-13 16:30:53;2220113;2026-08-23   11:10:50.562;;;100;Su;11:10:50.562;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
22;2026-09-13 16:30:53;2653375;2026-08-23   11:11:25.121;;;100;Su;11:11:25.121;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
23;2026-09-13 16:30:53;9750630;2026-08-23   11:13:06.910;;;100;Su;11:13:06.910;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
24;2026-09-13 16:30:53;2132185;2026-08-23   11:14:45.351;;;100;Su;11:14:45.351;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
25;2026-09-13 16:30:53;2165522;2026-08-23   11:15:09.851;;;100;Su;11:15:09.851;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
26;2026-09-13 16:30:53;2165257;2026-08-23   11:15:12.347;;;100;Su;11:15:12.347;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
27;2026-09-13 16:30:53;1010497;2026-08-23   11:15:27.359;;;100;Su;11:15:27.359;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
28;2026-09-13 16:30:53;2166402;2026-08-23   11:15:52.273;;;100;Su;11:15:52.273;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
