No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:19:51;2100615;2026-08-21   20:36:37.320;;;38;Fr;20:36:37.320;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:19:51;2100615;2026-08-21   21:03:05.347;;;38;Fr;21:03:05.347;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:19:51;8509414;2026-08-22   13:24:21.246;;;38;Sa;13:24:21.246;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:19:51;2219908;2026-08-22   15:37:51.457;;;38;Sa;15:37:51.457;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:19:51;2223500;2026-08-22   15:59:08.519;;;38;Sa;15:59:08.519;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:19:51;445596;2026-08-22   15:59:09.324;;;38;Sa;15:59:09.324;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:19:51;2223500;2026-08-22   15:59:13.558;;;38;Sa;15:59:13.558;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:19:51;911212;2026-08-22   16:08:08.089;;;38;Sa;16:08:08.089;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:19:51;1040487;2026-08-22   16:08:22.007;;;38;Sa;16:08:22.007;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:19:51;2148026;2026-08-22   16:09:18.468;;;38;Sa;16:09:18.468;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:19:51;353498;2026-08-22   16:11:32.003;;;38;Sa;16:11:32.003;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:19:51;2147842;2026-08-22   16:13:24.796;;;38;Sa;16:13:24.796;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:19:51;2164586;2026-08-22   16:13:56.179;;;38;Sa;16:13:56.179;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:19:51;1880412;2026-08-22   16:13:58.468;;;38;Sa;16:13:58.468;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:19:51;2078105;2026-08-22   16:15:34.117;;;38;Sa;16:15:34.117;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:19:51;2165257;2026-08-22   16:16:41.937;;;38;Sa;16:16:41.937;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:19:51;1160616;2026-08-22   16:17:13.085;;;38;Sa;16:17:13.085;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:19:51;1509779;2026-08-22   16:17:20.843;;;38;Sa;16:17:20.843;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:19:51;450733;2026-08-22   16:20:00.765;;;38;Sa;16:20:00.765;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:19:51;2448178;2026-08-22   16:20:07.203;;;38;Sa;16:20:07.203;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
21;2026-09-13 16:19:51;2060841;2026-08-22   16:22:02.554;;;38;Sa;16:22:02.554;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
22;2026-09-13 16:19:51;7160513;2026-08-22   16:22:10.453;;;38;Sa;16:22:10.453;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
23;2026-09-13 16:19:51;7160513;2026-08-22   16:22:25.464;;;38;Sa;16:22:25.464;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
24;2026-09-13 16:19:51;2771585;2026-08-22   16:26:59.019;;;38;Sa;16:26:59.019;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
25;2026-09-13 16:19:51;2212925;2026-08-22   16:31:08.027;;;38;Sa;16:31:08.027;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
26;2026-09-13 16:19:51;2212933;2026-08-22   16:31:11.312;;;38;Sa;16:31:11.312;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
27;2026-09-13 16:19:51;2212918;2026-08-22   16:31:13.734;;;38;Sa;16:31:13.734;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
28;2026-09-13 16:19:51;1941915;2026-08-22   16:33:49.257;;;38;Sa;16:33:49.257;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
29;2026-09-13 16:19:51;2168312;2026-08-22   16:41:21.332;;;38;Sa;16:41:21.332;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
30;2026-09-13 16:19:51;2220145;2026-08-22   16:41:36.382;;;38;Sa;16:41:36.382;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
