No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:03:49;1430205;2026-08-23   09:15:57.242;;;62;Su;09:15:57.242;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:03:49;7472012;2026-08-23   10:33:02.402;;;62;Su;10:33:02.402;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:03:49;2165522;2026-08-23   10:38:09.226;;;62;Su;10:38:09.226;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:03:49;2137761;2026-08-23   10:39:18.292;;;62;Su;10:39:18.292;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:03:49;2159837;2026-08-23   10:39:48.320;;;62;Su;10:39:48.320;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:03:49;2164586;2026-08-23   10:43:02.523;;;62;Su;10:43:02.523;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:03:49;2212921;2026-08-23   10:43:49.175;;;62;Su;10:43:49.175;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:03:49;2132177;2026-08-23   11:00:07.378;;;62;Su;11:00:07.378;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:03:49;2132185;2026-08-23   11:01:21.562;;;62;Su;11:01:21.562;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:03:49;1309220;2026-08-23   11:10:45.703;;;62;Su;11:10:45.703;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:03:49;245682;2026-08-23   11:13:48.632;;;62;Su;11:13:48.632;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:03:49;2164031;2026-08-23   11:33:47.597;;;62;Su;11:33:47.597;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:03:49;2163244;2026-08-23   11:41:13.523;;;62;Su;11:41:13.523;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:03:49;7020626;2026-08-23   11:45:44.539;;;62;Su;11:45:44.539;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:03:49;2771579;2026-08-23   11:53:30.421;;;62;Su;11:53:30.421;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:03:49;2132164;2026-08-23   11:58:20.613;;;62;Su;11:58:20.613;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:03:50;1292912;2026-08-23   12:15:30.558;;;62;Su;12:15:30.558;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:03:50;2390706;2026-09-10   18:20:45.285;;;62;Th;18:20:45.285;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:03:50;2390702;2026-09-10   18:21:59.437;;;62;Th;18:21:59.437;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:03:50;2390709;2026-09-10   18:22:27.292;;;62;Th;18:22:27.292;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
21;2026-09-13 16:03:50;2390705;2026-09-10   18:22:31.738;;;62;Th;18:22:31.738;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
22;2026-09-13 16:03:50;2390708;2026-09-10   18:24:00.550;;;62;Th;18:24:00.550;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
23;2026-09-13 16:03:50;2390703;2026-09-10   18:25:22.925;;;62;Th;18:25:22.925;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
24;2026-09-13 16:03:50;443383;2026-09-10   18:26:26.542;;;62;Th;18:26:26.542;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
25;2026-09-13 16:03:50;443383;2026-09-10   18:26:35.515;;;62;Th;18:26:35.515;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
26;2026-09-13 16:03:50;2390704;2026-09-10   18:30:13.726;;;62;Th;18:30:13.726;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
27;2026-09-13 16:03:50;2390710;2026-09-13   16:03:48.171;;;62;Su;16:03:48.171;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
