No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:21:13;2100616;2026-08-21   20:36:52.304;;;42;Fr;20:36:52.304;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:21:13;2100616;2026-08-21   21:03:10.648;;;42;Fr;21:03:10.648;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:21:13;1430205;2026-08-22   13:04:33.226;;;42;Sa;13:04:33.226;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:21:13;2164031;2026-08-22   16:04:03.371;;;42;Sa;16:04:03.371;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:21:13;441992;2026-08-22   16:04:52.101;;;42;Sa;16:04:52.101;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:21:13;2078101;2026-08-22   16:04:53.761;;;42;Sa;16:04:53.761;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:21:13;1060617;2026-08-22   16:05:10.457;;;42;Sa;16:05:10.457;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:21:13;1186790;2026-08-22   16:07:34.980;;;42;Sa;16:07:34.980;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:21:13;2163244;2026-08-22   16:07:46.871;;;42;Sa;16:07:46.871;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:21:13;1504809;2026-08-22   16:08:00.265;;;42;Sa;16:08:00.265;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:21:13;2165515;2026-08-22   16:12:55.847;;;42;Sa;16:12:55.847;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:21:13;1507797;2026-08-22   16:13:14.359;;;42;Sa;16:13:14.359;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:21:13;2062016;2026-08-22   16:14:59.542;;;42;Sa;16:14:59.542;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:21:13;1505985;2026-08-22   16:15:01.062;;;42;Sa;16:15:01.062;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:21:13;1010497;2026-08-22   16:16:58.597;;;42;Sa;16:16:58.597;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:21:13;2771579;2026-08-22   16:20:03.789;;;42;Sa;16:20:03.789;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:21:13;2148981;2026-08-22   16:23:19.828;;;42;Sa;16:23:19.828;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:21:13;2215148;2026-08-22   16:24:42.242;;;42;Sa;16:24:42.242;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:21:13;7020626;2026-08-22   16:26:50.644;;;42;Sa;16:26:50.644;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
