No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:18:44;2100617;2026-08-21   19:50:35.351;;;31;Fr;19:50:35.351;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:18:44;2100617;2026-08-21   21:02:49.000;;;31;Fr;21:02:49.000;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:18:44;2100614;2026-08-22   13:11:19.246;;;31;Sa;13:11:19.246;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:18:44;7130314;2026-08-22   15:23:51.070;;;31;Sa;15:23:51.070;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:18:44;2028400;2026-08-22   15:24:22.628;;;31;Sa;15:24:22.628;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:18:44;2025096;2026-08-22   15:24:23.527;;;31;Sa;15:24:23.527;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:18:44;2448055;2026-08-22   15:24:48.277;;;31;Sa;15:24:48.277;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:18:44;1504819;2026-08-22   15:25:41.714;;;31;Sa;15:25:41.714;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:18:44;450204;2026-08-22   15:29:18.664;;;31;Sa;15:29:18.664;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:18:44;1555055;2026-08-22   15:30:41.320;;;31;Sa;15:30:41.320;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:18:44;1161606;2026-08-22   15:30:49.691;;;31;Sa;15:30:49.691;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:18:44;2166402;2026-08-22   15:30:51.921;;;31;Sa;15:30:51.921;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:18:44;2219908;2026-08-22   15:30:52.464;;;31;Sa;15:30:52.464;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:18:44;2220113;2026-08-22   15:30:54.992;;;31;Sa;15:30:54.992;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:18:44;1501381;2026-08-22   15:31:01.566;;;31;Sa;15:31:01.566;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
