No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:30:01;1430205;2026-08-23   09:08:28.156;;;72;Su;09:08:28.156;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:30:01;7472012;2026-08-23   10:31:05.449;;;72;Su;10:31:05.449;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:30:01;2159837;2026-08-23   10:34:33.390;;;72;Su;10:34:33.390;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:30:01;2165522;2026-08-23   10:35:23.507;;;72;Su;10:35:23.507;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:30:01;2137761;2026-08-23   10:36:52.371;;;72;Su;10:36:52.371;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:30:01;2164586;2026-08-23   10:41:33.468;;;72;Su;10:41:33.468;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:30:01;2220113;2026-08-23   10:41:59.097;;;72;Su;10:41:59.097;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:30:01;2212921;2026-08-23   10:42:34.613;;;72;Su;10:42:34.613;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:30:01;1060617;2026-08-23   10:47:57.070;;;72;Su;10:47:57.070;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:30:01;2156556;2026-08-23   10:48:13.882;;;72;Su;10:48:13.882;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:30:01;2132177;2026-08-23   10:48:15.464;;;72;Su;10:48:15.464;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:30:01;2132185;2026-08-23   10:50:25.386;;;72;Su;10:50:25.386;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:30:01;1186790;2026-08-23   10:50:43.414;;;72;Su;10:50:43.414;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:30:01;1555055;2026-08-23   10:51:13.257;;;72;Su;10:51:13.257;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:30:01;353498;2026-08-23   10:52:02.523;;;72;Su;10:52:02.523;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:30:01;1880412;2026-08-23   10:53:40.148;;;72;Su;10:53:40.148;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:30:02;2771569;2026-08-23   10:53:57.316;;;72;Su;10:53:57.316;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:30:02;2060841;2026-08-23   10:54:57.406;;;72;Su;10:54:57.406;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:30:02;231138;2026-08-23   10:55:10.546;;;72;Su;10:55:10.546;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:30:02;2164599;2026-08-23   10:55:16.156;;;72;Su;10:55:16.156;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
