No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:11:19;2100617;2026-08-21   19:50:17.398;;;1;Fr;19:50:17.398;Clear;0;1;;;;;;
2;2026-09-13 16:11:19;2100615;2026-08-21   20:36:30.527;;;1;Fr;20:36:30.527;Clear;0;1;;;;;;
3;2026-09-13 16:11:19;2100617;2026-08-21   21:02:33.195;;;1;Fr;21:02:33.195;Clear;0;1;;;;;;
4;2026-09-13 16:11:19;2100615;2026-08-21   21:02:36.453;;;1;Fr;21:02:36.453;Clear;0;1;;;;;;
5;2026-09-13 16:11:19;2100616;2026-08-21   21:02:40.035;;;1;Fr;21:02:40.035;Clear;0;1;;;;;;
6;2026-09-13 16:11:19;2100617;2026-08-21   21:02:44.378;;;1;Fr;21:02:44.378;Clear;0;1;;;;;;
7;2026-09-13 16:11:19;2100617;2026-08-21   21:07:38.304;;;1;Fr;21:07:38.304;Clear;0;1;;;;;;
8;2026-09-13 16:11:19;2100616;2026-08-21   21:10:25.984;;;1;Fr;21:10:25.984;Clear;0;1;;;;;;
9;2026-09-13 16:11:19;2100615;2026-08-21   21:11:05.308;;;1;Fr;21:11:05.308;Clear;0;1;;;;;;
10;2026-09-13 16:11:19;2100614;2026-08-21   21:11:15.167;;;1;Fr;21:11:15.167;Clear;0;1;;;;;;
11;2026-09-13 16:11:19;2100616;2026-08-22   12:34:56.089;;;1;Sa;12:34:56.089;Clear;0;1;;;;;;
12;2026-09-13 16:11:19;8509414;2026-08-22   12:36:14.625;;;1;Sa;12:36:14.625;Clear;0;1;;;;;;
13;2026-09-13 16:11:19;2100617;2026-08-22   12:38:05.347;;;1;Sa;12:38:05.347;Clear;0;1;;;;;;
14;2026-09-13 16:11:19;1430205;2026-08-23   07:46:51.621;;;1;Su;07:46:51.621;Clear;0;1;;;;;;
15;2026-09-13 16:11:19;8534280;2026-08-23   07:46:56.007;;;1;Su;07:46:56.007;Clear;0;1;;;;;;
16;2026-09-13 16:11:19;2077356;2026-08-23   07:48:07.839;;;1;Su;07:48:07.839;Clear;0;1;;;;;;
17;2026-09-13 16:11:19;8535464;2026-08-23   07:59:02.007;;;1;Su;07:59:02.007;Clear;0;1;;;;;;
18;2026-09-13 16:11:19;2100614;2026-08-23   08:24:20.527;;;1;Su;08:24:20.527;Clear;0;1;;;;;;
19;2026-09-13 16:11:19;8535464;2026-08-23   08:55:59.382;;;1;Su;08:55:59.382;Clear;0;1;;;;;;
20;2026-09-13 16:11:19;2147842;2026-08-23   10:13:37.132;;;1;Su;10:13:37.132;Clear;0;1;;;;;;
21;2026-09-13 16:11:19;2060841;2026-08-23   10:13:48.675;;;1;Su;10:13:48.675;Clear;0;1;;;;;;
22;2026-09-13 16:11:19;2390707;2026-08-23   11:53:40.738;;;1;Su;11:53:40.738;Clear;0;1;;;;;;
23;2026-09-13 16:11:19;2390708;2026-08-23   11:53:42.566;;;1;Su;11:53:42.566;Clear;0;1;;;;;;
24;2026-09-13 16:11:19;443383;2026-09-10   ErrB;;;1;;00:00:00;Clear;0;1;;;;;;
25;2026-09-13 16:11:19;2390702;2026-09-10   18:13:21.425;;;1;Th;18:13:21.425;Clear;0;1;;;;;;
26;2026-09-13 16:11:19;443383;2026-09-10   18:13:23.648;;;1;Th;18:13:23.648;Clear;0;1;;;;;;
27;2026-09-13 16:11:19;2390709;2026-09-10   18:13:29.996;;;1;Th;18:13:29.996;Clear;0;1;;;;;;
28;2026-09-13 16:11:19;2390706;2026-09-10   18:13:32.152;;;1;Th;18:13:32.152;Clear;0;1;;;;;;
29;2026-09-13 16:11:19;2390702;2026-09-10   Err0;;;1;;00:00:00;Clear;0;1;;;;;;
30;2026-09-13 16:11:19;2390705;2026-09-10   18:13:55.800;;;1;Th;18:13:55.800;Clear;0;1;;;;;;
