No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:19:21;2100616;2026-08-21   20:36:54.312;;;40;Fr;20:36:54.312;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:19:21;2100616;2026-08-21   21:03:12.117;;;40;Fr;21:03:12.117;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:19:21;1430205;2026-08-22   13:19:14.820;;;40;Sa;13:19:14.820;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:19:21;2132164;2026-08-22   15:03:54.933;;;40;Sa;15:03:54.933;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:19:21;2771584;2026-08-22   15:04:00.910;;;40;Sa;15:04:00.910;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:19:21;2132177;2026-08-22   15:04:30.882;;;40;Sa;15:04:30.882;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:19:21;7130314;2026-08-22   15:05:09.863;;;40;Sa;15:05:09.863;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:19:21;2137761;2026-08-22   15:05:28.222;;;40;Sa;15:05:28.222;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:19:21;2212790;2026-08-22   15:14:05.230;;;40;Sa;15:14:05.230;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:19:21;1999813;2026-08-22   15:50:15.824;;;40;Sa;15:50:15.824;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:19:21;8534280;2026-08-23   08:33:12.476;;;40;Su;08:33:12.476;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:19:21;2390710;2026-09-13   16:19:10.238;;;40;Su;16:19:10.238;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
