No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:09:01;2100616;2026-08-22   12:52:26.335;;;71;Sa;12:52:26.335;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:09:01;1555055;2026-08-22   15:36:13.480;;;71;Sa;15:36:13.480;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:09:01;2028400;2026-08-22   15:37:06.328;;;71;Sa;15:37:06.328;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:09:01;2025096;2026-08-22   15:37:07.792;;;71;Sa;15:37:07.792;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:09:01;1504819;2026-08-22   15:37:23.390;;;71;Sa;15:37:23.390;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:09:01;1161606;2026-08-22   15:37:40.300;;;71;Sa;15:37:40.300;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:09:01;2448055;2026-08-22   15:38:05.078;;;71;Sa;15:38:05.078;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:09:01;2166402;2026-08-22   15:38:28.863;;;71;Sa;15:38:28.863;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:09:01;1292912;2026-08-22   15:38:57.273;;;71;Sa;15:38:57.273;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:09:01;1505235;2026-08-22   15:39:12.449;;;71;Sa;15:39:12.449;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:09:01;231138;2026-08-22   15:39:14.535;;;71;Sa;15:39:14.535;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:09:01;2219908;2026-08-22   15:39:43.277;;;71;Sa;15:39:43.277;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:09:01;2220113;2026-08-22   15:40:24.605;;;71;Sa;15:40:24.605;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:09:01;2653375;2026-08-22   15:40:29.667;;;71;Sa;15:40:29.667;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:09:01;2212815;2026-08-22   15:40:32.562;;;71;Sa;15:40:32.562;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:09:01;2653350;2026-08-22   15:40:38.609;;;71;Sa;15:40:38.609;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:09:02;1501381;2026-08-22   15:40:40.312;;;71;Sa;15:40:40.312;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:09:02;450204;2026-08-22   15:41:19.242;;;71;Sa;15:41:19.242;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:09:02;409441;2026-08-22   15:43:20.527;;;71;Sa;15:43:20.527;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:09:02;1801230;2026-08-22   15:43:25.296;;;71;Sa;15:43:25.296;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
21;2026-09-13 16:09:02;814481;2026-08-22   15:43:27.332;;;71;Sa;15:43:27.332;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
22;2026-09-13 16:09:02;1908110;2026-08-22   15:43:43.597;;;71;Sa;15:43:43.597;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
23;2026-09-13 16:09:02;1831220;2026-08-22   15:43:48.878;;;71;Sa;15:43:48.878;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
