No;Read on;SIID;Control time;Battery voltage;Serial number;Code number;DayOfWeek;Punch DateTime;Operating mode;SIAC number;SIAC Count;SIAC radio mode;SIAC is battery low;SIAC is card full;SIAC beacon mode;SIAC is gate mode;
1;2026-09-13 16:18:31;2100617;2026-08-21   19:50:27.367;;;32;Fr;19:50:27.367;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
2;2026-09-13 16:18:31;2100617;2026-08-21   21:02:45.640;;;32;Fr;21:02:45.640;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
3;2026-09-13 16:18:31;2100614;2026-08-22   12:53:25.652;;;32;Sa;12:53:25.652;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
4;2026-09-13 16:18:31;2028400;2026-08-22   15:30:22.855;;;32;Sa;15:30:22.855;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
5;2026-09-13 16:18:31;2025096;2026-08-22   15:30:23.953;;;32;Sa;15:30:23.953;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
6;2026-09-13 16:18:31;1504819;2026-08-22   15:30:33.738;;;32;Sa;15:30:33.738;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
7;2026-09-13 16:18:31;2448055;2026-08-22   15:30:45.429;;;32;Sa;15:30:45.429;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
8;2026-09-13 16:18:31;1555055;2026-08-22   15:33:05.675;;;32;Sa;15:33:05.675;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
9;2026-09-13 16:18:31;1161606;2026-08-22   15:33:52.246;;;32;Sa;15:33:52.246;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
10;2026-09-13 16:18:31;2166402;2026-08-22   15:33:55.671;;;32;Sa;15:33:55.671;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
11;2026-09-13 16:18:31;2219908;2026-08-22   15:34:00.105;;;32;Sa;15:34:00.105;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
12;2026-09-13 16:18:31;1505235;2026-08-22   15:34:26.523;;;32;Sa;15:34:26.523;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
13;2026-09-13 16:18:31;231138;2026-08-22   15:34:28.125;;;32;Sa;15:34:28.125;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
14;2026-09-13 16:18:31;1292912;2026-08-22   15:34:54.355;;;32;Sa;15:34:54.355;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
15;2026-09-13 16:18:31;2220113;2026-08-22   15:35:00.351;;;32;Sa;15:35:00.351;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
16;2026-09-13 16:18:31;2212815;2026-08-22   15:35:04.328;;;32;Sa;15:35:04.328;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
17;2026-09-13 16:18:31;2653375;2026-08-22   15:35:06.238;;;32;Sa;15:35:06.238;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
18;2026-09-13 16:18:31;2653350;2026-08-22   15:35:08.691;;;32;Sa;15:35:08.691;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
19;2026-09-13 16:18:31;1501381;2026-08-22   15:35:11.218;;;32;Sa;15:35:11.218;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
20;2026-09-13 16:18:31;450204;2026-08-22   15:35:27.488;;;32;Sa;15:35:27.488;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
21;2026-09-13 16:18:31;409441;2026-08-22   15:36:49.441;;;32;Sa;15:36:49.441;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
22;2026-09-13 16:18:31;814481;2026-08-22   15:37:05.335;;;32;Sa;15:37:05.335;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
23;2026-09-13 16:18:31;1801230;2026-08-22   15:37:07.207;;;32;Sa;15:37:07.207;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
24;2026-09-13 16:18:31;2135783;2026-08-22   15:37:34.558;;;32;Sa;15:37:34.558;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
25;2026-09-13 16:18:31;1908110;2026-08-22   15:37:36.015;;;32;Sa;15:37:36.015;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
26;2026-09-13 16:18:31;1831220;2026-08-22   15:38:03.253;;;32;Sa;15:38:03.253;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
27;2026-09-13 16:18:31;9750630;2026-08-22   15:39:46.910;;;32;Sa;15:39:46.910;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
28;2026-09-13 16:18:31;1070782;2026-08-22   15:41:35.191;;;32;Sa;15:41:35.191;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
29;2026-09-13 16:18:31;2212916;2026-08-22   15:41:36.406;;;32;Sa;15:41:36.406;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
30;2026-09-13 16:18:31;2164599;2026-08-22   15:43:34.292;;;32;Sa;15:43:34.292;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
31;2026-09-13 16:18:31;1521521;2026-08-22   15:47:01.125;;;32;Sa;15:47:01.125;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
32;2026-09-13 16:18:31;2771569;2026-08-22   15:47:46.941;;;32;Sa;15:47:46.941;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
33;2026-09-13 16:18:31;2164579;2026-08-22   15:48:02.808;;;32;Sa;15:48:02.808;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
34;2026-09-13 16:18:31;30215;2026-08-22   15:48:29.925;;;32;Sa;15:48:29.925;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
35;2026-09-13 16:18:31;445301;2026-08-22   15:48:34.316;;;32;Sa;15:48:34.316;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
36;2026-09-13 16:18:31;445263;2026-08-22   15:49:13.070;;;32;Sa;15:49:13.070;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
37;2026-09-13 16:18:31;2771576;2026-08-22   15:52:01.710;;;32;Sa;15:52:01.710;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
38;2026-09-13 16:18:31;2213297;2026-08-22   15:52:10.527;;;32;Sa;15:52:10.527;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
39;2026-09-13 16:18:31;2078145;2026-08-22   15:52:19.941;;;32;Sa;15:52:19.941;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
40;2026-09-13 16:18:31;2212924;2026-08-22   15:52:58.003;;;32;Sa;15:52:58.003;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
41;2026-09-13 16:18:31;428934;2026-08-22   15:55:13.738;;;32;Sa;15:55:13.738;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
42;2026-09-13 16:18:31;441992;2026-08-22   15:55:16.507;;;32;Sa;15:55:16.507;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
43;2026-09-13 16:18:31;2078101;2026-08-22   15:55:18.464;;;32;Sa;15:55:18.464;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
44;2026-09-13 16:18:31;1622226;2026-08-22   15:55:20.507;;;32;Sa;15:55:20.507;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
45;2026-09-13 16:18:31;1504809;2026-08-22   15:56:48.117;;;32;Sa;15:56:48.117;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
46;2026-09-13 16:18:31;2163244;2026-08-22   15:56:59.707;;;32;Sa;15:56:59.707;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
47;2026-09-13 16:18:31;1186790;2026-08-22   15:57:00.371;;;32;Sa;15:57:00.371;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
48;2026-09-13 16:18:31;2164031;2026-08-22   15:57:09.761;;;32;Sa;15:57:09.761;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
49;2026-09-13 16:18:31;1060617;2026-08-22   15:57:21.589;;;32;Sa;15:57:21.589;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
50;2026-09-13 16:18:31;941915;2026-08-22   15:58:47.859;;;32;Sa;15:58:47.859;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
51;2026-09-13 16:18:31;2062016;2026-08-22   16:00:24.175;;;32;Sa;16:00:24.175;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
52;2026-09-13 16:18:31;1505985;2026-08-22   16:01:47.328;;;32;Sa;16:01:47.328;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
53;2026-09-13 16:18:31;1507797;2026-08-22   16:05:13.714;;;32;Sa;16:05:13.714;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
54;2026-09-13 16:18:31;2165515;2026-08-22   16:05:15.328;;;32;Sa;16:05:15.328;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
55;2026-09-13 16:18:31;7020626;2026-08-22   16:06:32.769;;;32;Sa;16:06:32.769;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
56;2026-09-13 16:18:31;1506935;2026-08-22   16:06:34.496;;;32;Sa;16:06:34.496;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
57;2026-09-13 16:18:31;1010497;2026-08-22   16:06:42.906;;;32;Sa;16:06:42.906;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
58;2026-09-13 16:18:31;2771579;2026-08-22   16:09:14.535;;;32;Sa;16:09:14.535;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
59;2026-09-13 16:18:31;2215148;2026-08-22   16:13:00.531;;;32;Sa;16:13:00.531;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
60;2026-09-13 16:18:31;2148981;2026-08-22   16:15:25.328;;;32;Sa;16:15:25.328;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
61;2026-09-13 16:18:31;2123587;2026-08-22   16:17:47.906;;;32;Sa;16:17:47.906;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
62;2026-09-13 16:18:31;2653354;2026-08-22   16:18:58.882;;;32;Sa;16:18:58.882;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
63;2026-09-13 16:18:31;1818889;2026-08-22   16:23:11.164;;;32;Sa;16:23:11.164;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
64;2026-09-13 16:18:31;2078102;2026-08-22   16:24:04.742;;;32;Sa;16:24:04.742;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
65;2026-09-13 16:18:32;2156556;2026-08-22   16:27:32.867;;;32;Sa;16:27:32.867;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
66;2026-09-13 16:18:32;2132185;2026-08-22   16:28:29.148;;;32;Sa;16:28:29.148;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
67;2026-09-13 16:18:32;445262;2026-08-22   16:30:10.695;;;32;Sa;16:30:10.695;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
68;2026-09-13 16:18:32;1312003;2026-08-22   16:59:38.050;;;32;Sa;16:59:38.050;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
69;2026-09-13 16:18:32;8534280;2026-08-23   08:13:14.367;;;32;Su;08:13:14.367;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
70;2026-09-13 16:18:32;1817266;2026-08-23   11:47:26.289;;;32;Su;11:47:26.289;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
71;2026-09-13 16:18:32;2390710;2026-09-13   16:17:35.285;;;32;Su;16:17:35.285;BcControl;0;1;NotSetOrDisabled;;False;Unknown;False;
